'Abās Ābād	Iran	36.72769	51.10574
'Alī Ābād-e Katūl	Iran	36.91011	54.86737
'Ohonua	Tonga	-21.34135	-174.95656
's-Gravenland	The Netherlands	51.92336	4.55315
's-Gravenwezel	Belgium	51.26267	4.56113
's-Gravenzande	The Netherlands	52.00167	4.16528
's-Hertogenbosch	The Netherlands	51.69917	5.30417
'Ākra	Iraq	36.73359	43.88038
'Ārdamatā	Sudan	13.47546	22.48531
1 Decembrie	Romania	44.29083	26.05806
20-solagii Istiḳlolijati Toçikiston	Tajikistan	37.54749	68.46055
28 May	Azerbaijan	40.45761	49.64438
6th of October City	Egypt	29.81667	31.05
A Coruña	Spain	43.37135	-8.396
A dos Cunhados	Portugal	39.15237	-9.2972
A Estrada	Spain	42.68911	-8.48842
A Lưới	Vietnam	16.27228	107.23385
A Pobra do Caramiñal	Spain	42.60295	-8.93824
A Yun Pa	Vietnam	13.40025	108.43503
Aabenraa	Denmark	55.04434	9.41741
Aachar Leak	Cambodia	12.72553	104.89426
Aachen	Germany	50.77664	6.08342
Aadorf	Switzerland	47.49204	8.90099
Aajaltoûn	Lebanon	33.96528	35.68278
Aalanden	The Netherlands	52.53334	6.10069
Aalborg	Denmark	57.048	9.9187
Aalburg	The Netherlands	51.75482	5.13156
Aalen	Germany	48.83777	10.0933
Aalsmeer	The Netherlands	52.25917	4.75972
Aalst	Belgium	50.93604	4.0355
Aalten	The Netherlands	51.925	6.58056
Aalter	Belgium	51.09017	3.44693
Aamadi	India	20.77097	81.48991
Aarau	Switzerland	47.39254	8.04422
Aarburg	Switzerland	47.32067	7.89986
Aarle-Rixtel	The Netherlands	51.50976	5.63839
Aars	Denmark	56.80399	9.51441
Aarschot	Belgium	50.98715	4.83695
Aarsâl	Lebanon	34.17944	36.42083
Aartselaar	Belgium	51.13412	4.38678
Aasiaat	Greenland	68.70869	-52.86366
Aaïtanît	Lebanon	33.56139	35.67028
Aba	Nigeria	5.10658	7.36667
Abadan	Iran	30.3392	48.3043
Abadan	Turkmenistan	38.05415	58.19721
Abadeh	Iran	31.1608	52.6506
Abadia de Goiás	Brazil	-16.75722	-49.4375
Abadia dos Dourados	Brazil	-18.48556	-47.40306
Abadiânia	Brazil	-16.20417	-48.70694
Abadla	Algeria	31.019	-2.72387
Abaetetuba	Brazil	-1.71806	-48.8825
Abaeté	Brazil	-19.16	-45.44583
Abagur	Russia	53.7308	87.2526
Abaiara	Brazil	-7.36035	-39.04888
Abak	Nigeria	4.98236	7.78922
Abakaliki	Nigeria	6.32485	8.11368
Abakan	Russia	53.7154	91.42593
Abakumova	Ukraine	48.00222	37.59721
Abala	Ethiopia	14.23333	37.0
Abala	Niger	14.9369	3.4336
Abalak	Niger	15.4509	6.2793
Abalak	Russia	58.12861	68.59444
Aban	Russia	56.67674	96.06506
Abancay	Peru	-13.63426	-72.8838
Abanilla	Spain	38.20537	-1.04153
Abano Terme	Italy	45.35753	11.78725
Abarkūh	Iran	31.1289	53.2824
Abarán	Spain	38.20551	-1.39907
Abaré	Brazil	-8.72028	-39.11389
Abashiri	Japan	44.02127	144.26971
Abasolo	Mexico	20.45031	-101.53011
Abatiá	Brazil	-23.30361	-50.3125
Abatskoye	Russia	56.28765	70.45378
Abay	Kazakhstan	49.63539	72.86523
Abaza	Russia	52.65303	90.09454
Abaíra	Brazil	-13.24972	-41.66361
Abba	Central African Republic	5.33354	15.15199
Abbadia San Salvatore	Italy	42.8812	11.6722
Abbaspur	India	33.8174	73.97568
Abbeville	France	50.10521	1.83547
Abbeville	United States	29.97465	-92.13429
Abbey Road	United Kingdom	51.5349	-0.1782
Abbey Wood	United Kingdom	51.48688	0.10747
Abbeydale	Canada	51.0593	-113.92857
Abbiategrasso	Italy	45.39821	8.91678
Abbots Langley	United Kingdom	51.70573	-0.41757
Abbotsford	Australia	-37.8	145.0
Abbotsford	Canada	49.05798	-122.25257
Abbottabad	Pakistan	34.1463	73.21168
Abcoude	The Netherlands	52.2725	4.96944
Abdel Begrou	Mali	15.4975	-6.95056
Abdi	Chad	12.8	21.3
Abdu Rahiman Nagar	India	11.06983	75.93879
Abdul Khel	Pakistan	32.39967	70.91311
Abdulino	Russia	53.68581	53.65547
Abdurahmoni Jomí	Tajikistan	37.94636	68.80878
Abegondo	Spain	43.21667	-8.28333
Abejorral	Colombia	5.78928	-75.42725
Abel Figueiredo	Brazil	-4.95361	-48.39333
Abelardo Luz	Brazil	-26.56472	-52.32833
Abenberg	Germany	49.24282	10.96401
Abengourou	Ivory Coast	6.72972	-3.49639
Abensberg	Germany	48.81684	11.8498
Abeokuta	Nigeria	7.15571	3.34509
Abepura	Indonesia	-2.5964	140.6324
Abercanaid	United Kingdom	51.72361	-3.36611
Abercarn	United Kingdom	51.64733	-3.13476
Abercynon	United Kingdom	51.64548	-3.32727
Aberdare	United Kingdom	51.71438	-3.44918
Aberdeen	Canada	50.65	-120.36667
Aberdeen	Hong Kong	22.24802	114.15289
Aberdeen	South Africa	-32.47588	24.06525
Aberdeen	United Kingdom	57.14369	-2.09814
Aberdeen	United States	45.4647	-98.48648
Aberdeen Centre	Hong Kong	22.24842	114.15406
Aberfoyle Park	Australia	-35.0768	138.59163
Abergavenny	United Kingdom	51.82098	-3.01743
Abergele	United Kingdom	53.28436	-3.5822
Aberglasslyn	Australia	-32.7	151.53333
Aberkenfig	United Kingdom	51.54	-3.59556
Abertillery	United Kingdom	51.72981	-3.13432
Abertridwr	United Kingdom	51.59583	-3.26833
Aberystwyth	United Kingdom	52.41548	-4.08292
Abha	Saudi Arabia	18.21639	42.50528
Abhanpur	India	21.05309	81.74088
Abhar	Iran	36.1468	49.218
Abhayāpuri	India	26.32255	90.68526
Abidjan	Ivory Coast	5.35444	-4.00167
Abiko	Japan	35.86667	140.01667
Abilene	United States	32.44874	-99.73314
Abim	Uganda	2.70167	33.67611
Abingdon	United Kingdom	51.67109	-1.28278
Abingdon	United States	36.70983	-81.97735
Abington	United States	40.12067	-75.11795
Abinsk	Russia	44.87058	38.15759
Abira	Japan	42.81667	141.83333
Abirāmam	India	9.4423	78.4399
Abié	Ivory Coast	5.86647	-3.92574
Ablon-sur-Seine	France	48.72732	2.42686
Abnūb	Egypt	27.26881	31.15232
Abobo	Ivory Coast	5.41613	-4.0159
Abocho	Nigeria	7.5677	6.9863
Abohar	India	30.14453	74.19552
Aboisso	Ivory Coast	5.46779	-3.20711
Aboisso Comoé	Ivory Coast	5.7351	-3.40338
Aboka	Ivory Coast	6.53867	-6.81589
Abomey	Benin	7.18286	1.99119
Abomey-Calavi	Benin	6.44852	2.35566
Abomsa	Ethiopia	9.98333	39.98333
Abong Mbang	Cameroon	3.98333	13.18333
Abongoua	Ivory Coast	6.6527	-4.10178
Abony	Hungary	47.1899	20.00476
Aboso	Ghana	5.36073	-1.94856
Abou Déïa	Chad	11.448	19.2789
Abou el Hassan	Algeria	36.41657	1.19616
Aboudé	Ivory Coast	5.89609	-4.56253
Above Rocks	Jamaica	18.10678	-76.87608
Abovyan	Armenia	40.2717	44.63342
Abqaiq	Saudi Arabia	25.93402	49.6688
Abra Pampa	Argentina	-22.72273	-65.69693
Abradine	Ivory Coast	6.19975	-3.61125
Abraham’s Bay	Bahamas	22.36667	-72.96667
Abraka	Nigeria	5.79023	6.10473
Abram	United Kingdom	53.50855	-2.59266
Abrama	India	20.85865	72.90648
Abrantes	Portugal	39.46667	-8.2
Abrantes	Spain	40.37898	-3.72617
Abraveses	Portugal	40.68137	-7.92102
Abre Campo	Brazil	-20.30111	-42.4775
Abrego	Colombia	8.08202	-73.22135
Abrera	Spain	41.51682	1.901
Abreu e Lima	Brazil	-7.91167	-34.90278
Abreus	Cuba	22.27776	-80.5689
Abronambué	Ivory Coast	6.75611	-3.34139
Abrud	Romania	46.27406	23.06339
Abrīsham	Iran	32.55613	51.57325
Absam	Austria	47.29572	11.50593
Absecon	United States	39.42845	-74.49571
Abtsgmünd	Germany	48.89503	10.00172
Abu Dhabi	United Arab Emirates	24.45118	54.39696
Abu Jibeha	Sudan	11.4562	31.2285
